contigid	V1	V2	cluster	ps	phylum	class	order	family	genus
OAPGCV000011	OAPGCV000011_30	OAPGCV000011_30	PC_362	PC_362	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
OAPGCV000011	OAPGCV025276_49	OAPGCV000011_41	PC_156085	PC_156085	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
OAPGCV000011	OAPGCV005732_43	OAPGCV000011_29	PC_68113	PC_68113	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
OAPGCV000011	OAPGCV000011_31	OAPGCV000011_31	PC_363	PC_363	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
OAPGCV000017	OAPGCV049486_1	OAPGCV000017_30	PC_307600	PC_307600	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000017	OAPGCV000351_18	OAPGCV000017_1	PC_7275	PC_7275	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000017	OAPGCV000309_10	OAPGCV000017_45	PC_6692	PC_6692	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000018	OAPGCV004462_20	OAPGCV000018_3	PC_58601	PC_58601	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV000019	OAPGCV001956_35	OAPGCV000019_30	PC_32382	PC_32382	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Mesocricetibacter
OAPGCV000019	OAPGCV001956_35	OAPGCV000019_30	PC_32382	PC_32382	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus_D
OAPGCV000019	OAPGCV001956_35	OAPGCV000019_30	PC_32382	PC_32382	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Rodentibacter
OAPGCV000019	OAPGCV001956_35	OAPGCV000019_30	PC_32382	PC_32382	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Aggregatibacter
OAPGCV000019	OAPGCV012519_54	OAPGCV000019_13	PC_107177	PC_107177	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Mesocricetibacter
OAPGCV000019	OAPGCV012519_54	OAPGCV000019_13	PC_107177	PC_107177	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus_D
OAPGCV000019	OAPGCV012519_54	OAPGCV000019_13	PC_107177	PC_107177	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Rodentibacter
OAPGCV000019	OAPGCV012519_54	OAPGCV000019_13	PC_107177	PC_107177	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Aggregatibacter
OAPGCV000019	OAPGCV038159_6	OAPGCV000019_8	PC_219330	PC_219330	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Mesocricetibacter
OAPGCV000019	OAPGCV038159_6	OAPGCV000019_8	PC_219330	PC_219330	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus_D
OAPGCV000019	OAPGCV038159_6	OAPGCV000019_8	PC_219330	PC_219330	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Rodentibacter
OAPGCV000019	OAPGCV038159_6	OAPGCV000019_8	PC_219330	PC_219330	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Aggregatibacter
OAPGCV000019	OAPGCV050554_1	OAPGCV000019_45	PC_311019	PC_311019	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Mesocricetibacter
OAPGCV000019	OAPGCV050554_1	OAPGCV000019_45	PC_311019	PC_311019	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Haemophilus_D
OAPGCV000019	OAPGCV050554_1	OAPGCV000019_45	PC_311019	PC_311019	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Rodentibacter
OAPGCV000019	OAPGCV050554_1	OAPGCV000019_45	PC_311019	PC_311019	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Aggregatibacter
OAPGCV000021	OAPGCV028346_37	OAPGCV000021_40	PC_167237	PC_167237	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV000022	OAPGCV000266_18	OAPGCV000022_18	PC_5855	PC_5855	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000023	OAPGCV028561_64	OAPGCV000023_141	PC_168234	PC_168234	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
OAPGCV000023	OAPGCV023206_149	OAPGCV000023_142	PC_149502	PC_149502	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
OAPGCV000023	OAPGCV025299_29	OAPGCV000023_10	PC_156124	PC_156124	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
OAPGCV000023	OAPGCV028561_64	OAPGCV000023_139	PC_168234	PC_168234	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
OAPGCV000023	OAPGCV000023_108	OAPGCV000023_108	PC_530	PC_530	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
OAPGCV000023	OAPGCV000023_77	OAPGCV000023_77	PC_596	PC_596	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia
OAPGCV000027	OAPGCV006047_10	OAPGCV000027_11	PC_70223	PC_70223	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV000028	OAPGCV000028_20	OAPGCV000028_20	PC_666	PC_666	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000028	OAPGCV000028_24	OAPGCV000028_24	PC_668	PC_668	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000031	OAPGCV033045_27	OAPGCV000031_42	PC_197342	PC_197342	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV000031	OAPGCV033045_27	OAPGCV000031_42	PC_197342	PC_197342	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Eikenella
OAPGCV000033	OAPGCV000033_51	OAPGCV000033_51	PC_807	PC_807	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoanaerobaculum
OAPGCV000033	OAPGCV000033_67	OAPGCV000033_67	PC_820	PC_820	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoanaerobaculum
OAPGCV000034	OAPGCV066586_3	OAPGCV000034_17	PC_388543	PC_388543	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV000035	OAPGCV031486_41	OAPGCV000035_48	PC_185216	PC_185216	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000036	OAPGCV000036_39	OAPGCV000036_39	PC_875	PC_875	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia
OAPGCV000037	OAPGCV017350_38	OAPGCV000037_48	PC_127813	PC_127813	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000037	OAPGCV002920_31	OAPGCV000037_41	PC_43493	PC_43493	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000038	OAPGCV006047_10	OAPGCV000038_44	PC_70223	PC_70223	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV000039	OAPGCV067405_34	OAPGCV000039_29	PC_392219	PC_392219	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000039	OAPGCV067988_3	OAPGCV000039_58	PC_396294	PC_396294	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000040	OAPGCV000040_73	OAPGCV000040_73	PC_957	PC_957	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000040	OAPGCV000040_72	OAPGCV000040_72	PC_956	PC_956	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000042	OAPGCV000042_11	OAPGCV000042_11	PC_962	PC_962	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000042	OAPGCV000042_58	OAPGCV000042_58	PC_992	PC_992	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000044	OAPGCV042807_22	OAPGCV000044_4	PC_273408	PC_273408	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000044	OAPGCV064469_22	OAPGCV000044_2	PC_380219	PC_380219	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000044	OAPGCV045418_53	OAPGCV000044_6	PC_285127	PC_285127	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000045	OAPGCV011879_45	OAPGCV000045_48	PC_103850	PC_103850	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV000045	OAPGCV000287_41	OAPGCV000045_43	PC_6301	PC_6301	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV000046	OAPGCV000046_56	OAPGCV000046_56	PC_1088	PC_1088	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Olsenella_F
OAPGCV000047	OAPGCV000047_7	OAPGCV000047_7	PC_1098	PC_1098	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000048	OAPGCV000048_48	OAPGCV000048_48	PC_1115	PC_1115	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoanaerobaculum
OAPGCV000048	OAPGCV000048_48	OAPGCV000048_48	PC_1115	PC_1115	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CALALP01
OAPGCV000048	OAPGCV000048_49	OAPGCV000048_49	PC_1116	PC_1116	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoanaerobaculum
OAPGCV000048	OAPGCV000048_49	OAPGCV000048_49	PC_1116	PC_1116	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CALALP01
OAPGCV000051	OAPGCV005214_170	OAPGCV000051_114	PC_64741	PC_64741	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000051	OAPGCV010604_132	OAPGCV000051_33	PC_97115	PC_97115	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000051	OAPGCV002270_155	OAPGCV000051_90	PC_36024	PC_36024	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000052	OAPGCV000335_47	OAPGCV000052_49	PC_7104	PC_7104	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV000052	OAPGCV003040_56	OAPGCV000052_43	PC_44397	PC_44397	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV000053	OAPGCV001133_10	OAPGCV000053_5	PC_21732	PC_21732	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Peptidiphaga
OAPGCV000054	OAPGCV035090_14	OAPGCV000054_41	PC_204338	PC_204338	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV000055	OAPGCV006047_10	OAPGCV000055_10	PC_70223	PC_70223	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV000056	OAPGCV003072_10	OAPGCV000056_51	PC_44737	PC_44737	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium
OAPGCV000056	OAPGCV000056_73	OAPGCV000056_73	PC_1335	PC_1335	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium
OAPGCV000056	OAPGCV000056_77	OAPGCV000056_77	PC_1337	PC_1337	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium
OAPGCV000056	OAPGCV046199_75	OAPGCV000056_76	PC_289665	PC_289665	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium
OAPGCV000057	OAPGCV020609_16	OAPGCV000057_31	PC_140018	PC_140018	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV000057	OAPGCV020609_15	OAPGCV000057_32	PC_140017	PC_140017	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV000058	OAPGCV000058_3	OAPGCV000058_3	PC_1395	PC_1395	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000058	OAPGCV006229_39	OAPGCV000058_14	PC_71463	PC_71463	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000060	OAPGCV030211_64	OAPGCV000060_5	PC_177970	PC_177970	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000062	OAPGCV012777_26	OAPGCV000062_42	PC_108553	PC_108553	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000063	OAPGCV000006_57	OAPGCV000063_4	PC_226	PC_226	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000065	OAPGCV000065_3	OAPGCV000065_3	PC_1452	PC_1452	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV000065	OAPGCV000065_59	OAPGCV000065_59	PC_1463	PC_1463	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV000065	OAPGCV000355_36	OAPGCV000065_47	PC_7322	PC_7322	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV000065	OAPGCV005156_51	OAPGCV000065_48	PC_64343	PC_64343	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV000065	OAPGCV000065_46	OAPGCV000065_46	PC_1458	PC_1458	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV000065	OAPGCV000065_19	OAPGCV000065_19	PC_1449	PC_1449	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV000066	OAPGCV033045_27	OAPGCV000066_14	PC_197342	PC_197342	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria
OAPGCV000066	OAPGCV033045_27	OAPGCV000066_14	PC_197342	PC_197342	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Eikenella
OAPGCV000067	OAPGCV007274_8	OAPGCV000067_4	PC_78392	PC_78392	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga
OAPGCV000069	OAPGCV000069_88	OAPGCV000069_88	PC_1561	PC_1561	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV000069	OAPGCV006151_32	OAPGCV000069_71	PC_70815	PC_70815	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV000070	OAPGCV049679_91	OAPGCV000070_69	PC_308298	PC_308298	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella
OAPGCV000071	OAPGCV000494_18	OAPGCV000071_47	PC_9910	PC_9910	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV000071	OAPGCV052840_2	OAPGCV000071_28	PC_319149	PC_319149	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella
OAPGCV000072	OAPGCV000082_10	OAPGCV000072_36	PC_2020	PC_2020	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV000072	OAPGCV002125_7	OAPGCV000072_31	PC_34391	PC_34391	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium
OAPGCV000073	OAPGCV022297_7	OAPGCV000073_59	PC_146314	PC_146314	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000073	OAPGCV025464_30	OAPGCV000073_4	PC_156593	PC_156593	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000075	OAPGCV000075_11	OAPGCV000075_11	PC_1678	PC_1678	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000075	OAPGCV000075_12	OAPGCV000075_12	PC_1679	PC_1679	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000077	OAPGCV035090_14	OAPGCV000077_53	PC_204338	PC_204338	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia
OAPGCV000078	OAPGCV000078_114	OAPGCV000078_114	PC_1718	PC_1718	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Cardiobacterium
OAPGCV000078	OAPGCV000078_23	OAPGCV000078_23	PC_1747	PC_1747	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Cardiobacterium
OAPGCV000078	OAPGCV000078_70	OAPGCV000078_70	PC_1775	PC_1775	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Cardiobacterium
OAPGCV000078	OAPGCV000078_95	OAPGCV000078_95	PC_1796	PC_1796	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Cardiobacterium
OAPGCV000078	OAPGCV000078_69	OAPGCV000078_69	PC_1774	PC_1774	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Cardiobacteriaceae	g__Cardiobacterium
OAPGCV000081	OAPGCV000081_163	OAPGCV000081_163	PC_1893	PC_1893	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000081	OAPGCV000081_224	OAPGCV000081_224	PC_1936	PC_1936	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000081	OAPGCV038485_5	OAPGCV000081_27	PC_228878	PC_228878	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000081	OAPGCV000081_26	OAPGCV000081_26	PC_1966	PC_1966	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000082	OAPGCV000082_10	OAPGCV000082_10	PC_2020	PC_2020	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000082	OAPGCV000082_16	OAPGCV000082_16	PC_2025	PC_2025	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000083	OAPGCV032021_18	OAPGCV000083_28	PC_190318	PC_190318	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV000084	OAPGCV032021_18	OAPGCV000084_39	PC_190318	PC_190318	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV000084	OAPGCV002638_25	OAPGCV000084_33	PC_40852	PC_40852	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV000085	OAPGCV000085_23	OAPGCV000085_23	PC_2090	PC_2090	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000085	OAPGCV000085_29	OAPGCV000085_29	PC_2093	PC_2093	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000086	OAPGCV045002_5	OAPGCV000086_47	PC_281531	PC_281531	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Leptotrichia
OAPGCV000087	OAPGCV035956_8	OAPGCV000087_1	PC_208599	PC_208599	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoanaerobaculum
OAPGCV000087	OAPGCV000087_34	OAPGCV000087_34	PC_2150	PC_2150	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoanaerobaculum
OAPGCV000089	OAPGCV000089_17	OAPGCV000089_17	PC_2193	PC_2193	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Arachnia
OAPGCV000091	OAPGCV049486_1	OAPGCV000091_16	PC_307600	PC_307600	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV000091	OAPGCV000351_18	OAPGCV000091_47	PC_7275	PC_7275	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV000091	OAPGCV000309_10	OAPGCV000091_1	PC_6692	PC_6692	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces
OAPGCV000094	OAPGCV067128_82	OAPGCV000094_22	PC_391288	PC_391288	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
OAPGCV000095	OAPGCV066157_15	OAPGCV000095_50	PC_386753	PC_386753	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OAPGCV000096	OAPGCV004540_47	OAPGCV000096_4	PC_59426	PC_59426	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium
OAPGCV000096	OAPGCV004540_47	OAPGCV000096_4	PC_59426	PC_59426	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Eikenella
OAPGCV000096	OAPGCV000096_41	OAPGCV000096_41	PC_2311	PC_2311	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium
OAPGCV000096	OAPGCV000096_41	OAPGCV000096_41	PC_2311	PC_2311	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Eikenella
OAPGCV000096	OAPGCV000096_7	OAPGCV000096_7	PC_2321	PC_2321	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium
OAPGCV000096	OAPGCV000096_7	OAPGCV000096_7	PC_2321	PC_2321	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Eikenella
OAPGCV000098	OAPGCV005214_170	OAPGCV000098_207	PC_64741	PC_64741	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
