DATASET_SIMPLEBAR

SEPARATOR	TAB
OAPGCV016405	99640.05263
OAPGCV016237	55835.92414
OAPGCV033986	79354.69231
OAPGCV038469	47580.30769
OAPGCV009615	43482.43182
OAPGCV004608	36420.45622
OAPGCV013987	42510.5641
OAPGCV046242	45688.94118
OAPGCV019873	34310
OAPGCV005863	194632.4118
OAPGCV047475	108578.9091
OAPGCV054776	63733.5
OAPGCV009919	44693.29358
OAPGCV002486	38629.5
OAPGCV017502	40820.71429
OAPGCV066630	40850.83511
OAPGCV016363	40396.55063
OAPGCV051575	37042.18337
OAPGCV046101	39060.6009
OAPGCV057562	34780
OAPGCV025011	36397.1907
OAPGCV051918	44179.85714
OAPGCV008969	40904.97196
OAPGCV042958	66589.47644
OAPGCV047349	67451
OAPGCV045271	39897.55556
OAPGCV044194	68363.51415
OAPGCV045866	38147.0638
OAPGCV001954	38355.18873
OAPGCV031108	44278
OAPGCV058982	41757.61538
OAPGCV031981	41443.89474
OAPGCV044141	37983.72596
OAPGCV032590	45801.17544
OAPGCV042091	42837.38021
OAPGCV045236	48607.5
OAPGCV047345	43695.94231
OAPGCV049108	46865.5
OAPGCV048348	46836
OAPGCV051731	39214.13793
OAPGCV054045	52614.76214
OAPGCV036400	46823
OAPGCV059708	46215.8018
OAPGCV008313	44603.30641
OAPGCV000971	164890.6667
OAPGCV056811	314758.4
OAPGCV062938	239060
OAPGCV032216	292208
OAPGCV031769	253024.9076
OAPGCV001328	224971.3931
OAPGCV034811	263811.5263
OAPGCV055928	256388.5
OAPGCV001746	336760.5455
OAPGCV028361	329561
OAPGCV019762	190359
OAPGCV031684	223150.5
OAPGCV056986	244463.6588
OAPGCV029516	32835
OAPGCV004633	45941
OAPGCV058530	44105
OAPGCV031031	35824
OAPGCV046337	31402
OAPGCV045592	38241
OAPGCV049501	42497.875
OAPGCV058792	37360.5
OAPGCV037168	37614.66667
OAPGCV066885	37358
OAPGCV065465	43121
OAPGCV013656	37919.85714
OAPGCV065696	42965.15385
OAPGCV006822	48812.5
OAPGCV032100	41730
OAPGCV045628	39038.66667
OAPGCV068298	37287.66667
OAPGCV058900	36664.5
OAPGCV032043	39809.57143
OAPGCV030321	19748.33333
OAPGCV039764	15503.32174
OAPGCV067568	39709
OAPGCV039939	14592.35714
OAPGCV059972	15138.5
OAPGCV063471	14644.24598
OAPGCV036786	37268.23404
OAPGCV064818	40908.45098
OAPGCV025827	46359.34259
OAPGCV043885	36879.33333
OAPGCV051565	36674.62346
OAPGCV036352	31518
OAPGCV053426	34232.07356
OAPGCV058000	37829.33333
OAPGCV065359	35459.06163
OAPGCV059004	36694.62745
OAPGCV037392	39652.01429
OAPGCV051568	41756.9
OAPGCV057993	42945.16667
OAPGCV016072	36573.05195
OAPGCV061571	39480.26971
OAPGCV051286	39856.58456
OAPGCV014483	38958.10604
OAPGCV031892	38526.66667
OAPGCV068303	42395
OAPGCV049112	47167.57143
OAPGCV057413	43755.81579
OAPGCV063301	37972.84497
OAPGCV048722	41302.75
OAPGCV048654	52714
OAPGCV064996	38183.66667
OAPGCV046282	42365
OAPGCV068055	35317.18571
OAPGCV051599	37477.98378
OAPGCV049914	37049
OAPGCV064728	59318
OAPGCV064958	32589.25359
OAPGCV064213	43294.29137
OAPGCV060789	35587.56322
OAPGCV006392	40674.94839
OAPGCV023748	36418.10256
OAPGCV065934	36623
OAPGCV051201	40870.528
OAPGCV055304	32153.44444
OAPGCV066510	34238
OAPGCV033827	31710.4
OAPGCV043796	32803.6625
OAPGCV004708	27752.5
OAPGCV042819	36635.875
OAPGCV047994	36879.33333
OAPGCV058593	41547
OAPGCV018177	35707.97959
OAPGCV065512	34666.58333
OAPGCV062365	38753.89189
OAPGCV031989	6963.204545
OAPGCV063492	8943.66879
OAPGCV040267	239773.0333
OAPGCV064868	316595.4407
OAPGCV009921	317137.2727
OAPGCV058001	411149
OAPGCV014062	49973.28571
OAPGCV060101	245325.0253
OAPGCV038840	308411.3333
OAPGCV027100	263216.6667
OAPGCV054709	280679.2424
OAPGCV025654	21719.77778
OAPGCV011951	35680
OAPGCV064043	47064.75
OAPGCV058131	39832.4
OAPGCV029748	95407
OAPGCV029946	108705
OAPGCV032812	44493.5
OAPGCV049301	49563.45
OAPGCV068334	44818.33607
OAPGCV060535	51702.55556
OAPGCV055093	40113.57143
OAPGCV005810	37226
OAPGCV052535	42650
OAPGCV050072	38533
OAPGCV062864	36496.93289
OAPGCV066918	39416.94526
OAPGCV008408	38738.44743
OAPGCV050312	43172.21324
OAPGCV044930	34128
OAPGCV019436	38737.8
OAPGCV013639	42921.00826
OAPGCV056605	39710
OAPGCV040479	244452
OAPGCV052161	40062.2
OAPGCV067899	38037.66667
OAPGCV048093	47004
OAPGCV029560	279495
OAPGCV047902	252172.4848
OAPGCV001841	274576
OAPGCV010804	63020
OAPGCV032494	47134
OAPGCV068143	46289.29412
OAPGCV021279	39670
OAPGCV025482	46174.6875
OAPGCV044435	42531.32813
OAPGCV045097	45428.22727
OAPGCV029309	40111.37762
OAPGCV015981	45149.5
OAPGCV027205	39100.70588
OAPGCV055160	61463.93333
OAPGCV062780	43229.91304
OAPGCV049023	41048.5
OAPGCV032093	170182
OAPGCV067996	41664
OAPGCV031685	44973.5
OAPGCV024814	44985.38462
OAPGCV050205	39683.66667
OAPGCV027296	41862.7191
OAPGCV058287	49426
OAPGCV061269	46967
OAPGCV027861	28889.1129
OAPGCV024318	179713
OAPGCV010294	151632.9828
OAPGCV002360	171627
OAPGCV047920	41301.5
OAPGCV016798	248996.92
OAPGCV062931	31330.46667
OAPGCV049004	29136.40823
OAPGCV031671	38154
OAPGCV067107	17761.71429
OAPGCV058904	41578.5
OAPGCV018827	109963.2632
OAPGCV020526	64641.24752
OAPGCV036778	38653.7973
OAPGCV066425	39859.11806
OAPGCV039477	10070.4
OAPGCV040873	10593.02778
OAPGCV062817	148163
OAPGCV063061	29444.26012
OAPGCV064342	8000.589286
OAPGCV050598	33111
OAPGCV025433	43528.5
OAPGCV027101	40693.70588
OAPGCV008322	56416
OAPGCV018841	49088
OAPGCV032329	11432.92308
OAPGCV064123	48549.35714
OAPGCV060399	62354.19637
OAPGCV031773	78408
OAPGCV058095	76081
OAPGCV031760	42725.35294
OAPGCV067978	95304
OAPGCV030880	93676
OAPGCV031020	110673
OAPGCV036139	41069.5
OAPGCV058186	67563
OAPGCV058477	9802.192308
OAPGCV057772	43697.52381
OAPGCV065844	36514
OAPGCV062510	8327.653846
OAPGCV035327	34827.84746
OAPGCV043970	42581.98246
OAPGCV067938	83253
OAPGCV058886	51434.25
OAPGCV062390	47239
OAPGCV032724	56411
OAPGCV031454	41626
OAPGCV067734	41531.25
OAPGCV045609	47813.66667
OAPGCV025839	41805.8
OAPGCV067869	45069
OAPGCV046636	43316
OAPGCV043155	43811.7098
OAPGCV046631	43087
OAPGCV045470	49241
OAPGCV058887	46435
OAPGCV062384	41371.07692
OAPGCV045582	55075.09091
OAPGCV068162	51955.66667
OAPGCV058514	50970.66667
OAPGCV059050	49483.75
OAPGCV029646	45388
OAPGCV068080	48146.5
OAPGCV058268	50606.71429
OAPGCV046179	50232.5
OAPGCV031972	51713.71429
OAPGCV061239	44648
OAPGCV066037	54361.03846
OAPGCV047959	69347
OAPGCV001599	77098.86047
OAPGCV013164	66716.32258
OAPGCV029854	63493.8209
OAPGCV025480	60331.71774
OAPGCV039721	412922
OAPGCV066712	554469
OAPGCV027782	5999
OAPGCV038464	12051
OAPGCV058513	5699
OAPGCV000738	7055.418605
OAPGCV018994	32219.875
OAPGCV065162	8618.851852
OAPGCV061241	45987.45833
OAPGCV037302	50677
OAPGCV061144	35600
OAPGCV053623	40742.25017
OAPGCV011833	43735.02649
OAPGCV063232	58263
OAPGCV009549	7757
OAPGCV068121	53275
OAPGCV061181	29006
OAPGCV061266	48775.66667
OAPGCV047702	39928
OAPGCV001679	12297
OAPGCV039872	50582.7807
OAPGCV058145	136738.75
OAPGCV067945	13416.62963
OAPGCV015646	87529.61905
OAPGCV048653	6020.72
OAPGCV019934	16931.67091
OAPGCV031713	162849.5
OAPGCV007604	7483.858696
OAPGCV061177	16062.2
OAPGCV059617	5512
OAPGCV060422	5561
OAPGCV064301	36640.46206
OAPGCV048230	7248.787879
OAPGCV047234	17036
OAPGCV068319	5248.2
OAPGCV058482	16442.37696
OAPGCV067903	41906.5
OAPGCV013769	18992.70175
OAPGCV006899	78235.1129
OAPGCV029381	91923.12766
OAPGCV009387	147968
OAPGCV005845	98812.4902
OAPGCV030059	14288.75
OAPGCV068691	6487
OAPGCV047242	6276.5
OAPGCV027253	41106.36111
OAPGCV000365	64279.51648
OAPGCV029424	50254
OAPGCV065136	62826.33333
OAPGCV066503	9877.768392
OAPGCV062692	86724
OAPGCV065568	8754.95466
OAPGCV063172	7366.153846
OAPGCV038639	8403.089552
OAPGCV001795	255476.3571
OAPGCV012344	246351.2603
OAPGCV035575	253545.625
OAPGCV007367	226703.2927
OAPGCV004029	212034
OAPGCV002312	243426.7157
OAPGCV067393	251996.4706
OAPGCV012294	206810
OAPGCV000999	177016.0658
OAPGCV032151	225905.1169
OAPGCV054623	266662.1268
OAPGCV040091	173255.5122
OAPGCV038702	171835
OAPGCV065444	46810
OAPGCV066954	153389
OAPGCV001021	105999
OAPGCV058600	155075
OAPGCV048905	227364.9091
OAPGCV037924	173712.9802
OAPGCV036446	220462.0526
OAPGCV038789	225318.6667
OAPGCV038498	315882.5263
OAPGCV039892	105397.3333
OAPGCV039119	188524.5
OAPGCV039742	295810.5
OAPGCV057442	404143.75
OAPGCV039377	206670.0405
OAPGCV039680	285219.6946
OAPGCV038228	195606.8293
OAPGCV039562	289351.9231
OAPGCV040499	309632.3455
OAPGCV038899	157945.5652
OAPGCV023828	131875.083
OAPGCV014563	255815.9438
OAPGCV046518	211571.2581
OAPGCV040140	236036
OAPGCV060873	189234.75
OAPGCV040241	161504.2727
OAPGCV059879	124394.8701
OAPGCV061867	206510.443
OAPGCV007826	223824.3
OAPGCV039309	254013.3838
OAPGCV039148	99289.83133
OAPGCV040471	151111.7632
OAPGCV040113	131559.44
OAPGCV038528	226184.3117
OAPGCV022820	217179.9528
OAPGCV040340	283466.4086
OAPGCV065373	183874.2532
OAPGCV034192	79247.56
OAPGCV007286	28540.2
OAPGCV060580	36511
OAPGCV007210	38558.41045
OAPGCV005660	35214.47841
OAPGCV036487	40598.52475
OAPGCV054438	148694.5238
OAPGCV021447	178755.75
OAPGCV027104	170311.7059
OAPGCV001878	201089
OAPGCV015529	48497.25
OAPGCV013962	49475.8169
OAPGCV058324	17142.88889
OAPGCV064899	17478.096
OAPGCV065036	10607.55556
OAPGCV068408	16760.9802
OAPGCV060113	9539.315789
OAPGCV051814	77047.92366
OAPGCV065893	93128.5
OAPGCV059814	96664.64234
OAPGCV068448	82382
OAPGCV021014	36586.41667
OAPGCV004282	44381.08571
OAPGCV062815	59382
OAPGCV037045	208498
OAPGCV057173	41280.33333
OAPGCV033390	151725.4
OAPGCV031058	39520
OAPGCV029940	76416
OAPGCV013570	80770.75
OAPGCV031774	87600.57143
OAPGCV031124	95351
OAPGCV045698	41089
OAPGCV058349	46123.25
OAPGCV066876	199793
OAPGCV064116	276229
OAPGCV011316	310957.6667
OAPGCV066693	279842
OAPGCV065699	314820.8
OAPGCV020264	345429
OAPGCV004431	59292.75
OAPGCV048409	67858.22917
OAPGCV056212	81281.49123
OAPGCV056707	40659.7
OAPGCV005994	33985.83333
OAPGCV054601	43061.84483
OAPGCV002738	37575.33333
OAPGCV068665	8344
OAPGCV062399	6633
OAPGCV033445	165034
OAPGCV047763	154355.25
OAPGCV022410	150569
OAPGCV038149	105588.1
OAPGCV054297	101958
OAPGCV040318	5541.40708
OAPGCV062023	5713.851064
OAPGCV050101	5669.939394
OAPGCV007204	5370.5
OAPGCV066070	7183.5
OAPGCV034999	6898
OAPGCV040798	6424.076923
OAPGCV060726	7980
OAPGCV062951	7119
OAPGCV064448	7602.8
OAPGCV057599	8150
OAPGCV061864	5173
OAPGCV062536	5442
OAPGCV031823	7067.789474
OAPGCV032358	7623.444444
OAPGCV063778	6677.666667
OAPGCV059322	49992.15789
OAPGCV061166	6975
OAPGCV010035	6630.380952
OAPGCV020981	54998.625
OAPGCV056221	61103.92308
OAPGCV036610	6102
OAPGCV022536	38185.5
OAPGCV032175	9924.666667
OAPGCV036569	6594
OAPGCV058857	6913
OAPGCV040745	6907
OAPGCV056328	7212.666667
OAPGCV057981	6065
OAPGCV058113	8674
OAPGCV058949	71901
OAPGCV061245	8103.333333
OAPGCV031625	7572
OAPGCV068682	5817.5
OAPGCV055990	7165
OAPGCV063141	7335.061111
OAPGCV008960	5429.769231
OAPGCV028037	6726.683333
OAPGCV029893	6942.428571
OAPGCV019910	7210.916667
OAPGCV053734	6051
OAPGCV038665	20462.375
OAPGCV032752	5299.666667
OAPGCV036551	5717.75
OAPGCV031627	17661
OAPGCV022498	6487
OAPGCV039578	5929.195122
OAPGCV039577	6821
OAPGCV040615	6800
OAPGCV053969	5073.333333
OAPGCV056798	57856
OAPGCV058708	11283.5
OAPGCV058239	6496.2
OAPGCV061035	5620
OAPGCV062302	5005
OAPGCV068685	6235
OAPGCV000931	5788
OAPGCV043769	6571.6
OAPGCV068680	6422
OAPGCV062400	5522
OAPGCV061203	6370
OAPGCV048195	9404.642857
OAPGCV047433	10307
OAPGCV047223	8357
OAPGCV047561	9087
OAPGCV059867	6612.3
OAPGCV029832	5892.428571
OAPGCV062539	7179.5
OAPGCV068675	6832.5
OAPGCV061168	5509
OAPGCV062403	5165
OAPGCV047244	9773
OAPGCV037469	9327
OAPGCV046222	49022.5
OAPGCV059844	43865.07692
OAPGCV006927	78251
OAPGCV028927	42429
OAPGCV062346	50622
OAPGCV042832	44850
OAPGCV061063	54229
OAPGCV033814	44322.1
OAPGCV067969	59130
OAPGCV063983	47185.3
OAPGCV029729	39023
OAPGCV062459	20312.625
OAPGCV042627	39999.66667
OAPGCV042375	46450
OAPGCV047505	38886
OAPGCV063996	42624
OAPGCV067205	36477.8
OAPGCV044893	38037.5
OAPGCV056606	57644
OAPGCV048095	39049
OAPGCV000792	69960.42857
OAPGCV068338	127641
OAPGCV055929	44963
OAPGCV058782	42055
OAPGCV062811	154311
OAPGCV030184	243455
OAPGCV006037	109952
OAPGCV044924	40394
OAPGCV032522	55981
OAPGCV050599	56872
OAPGCV029672	72665
OAPGCV046427	39120.5
OAPGCV064711	46179.66667
OAPGCV056178	151602
OAPGCV064258	100727.7692
OAPGCV007281	18528.875
OAPGCV057692	88470.66667
OAPGCV014114	45534
OAPGCV045066	46672
OAPGCV058769	41415
OAPGCV045008	49917
OAPGCV048963	101350
OAPGCV063994	56811
OAPGCV067431	61100
OAPGCV029937	42034.28571
OAPGCV066366	39100.75
OAPGCV035332	48381
OAPGCV031763	39657
OAPGCV054918	47723.68421
OAPGCV032397	14728
OAPGCV044046	43091.41176
OAPGCV060338	47531.89655
OAPGCV045891	56509.2
